ticker ,Name of Company
CUBEXTUB.NS,Cubex Tubings Limited
CUBEXTUB-BE.NS,CUBEXTUBINGS-ROLLSETT
CUBEXTUB-EQ.NS,CUBEX TUBINGS INR10
CURATECH-EQ.NS,CURA TECHNOLOGIES INR10
CUMMINSIND.NS,Cummins India Limited
CYBERTECH.NS,CyberTech Systems and Software Limited
CYBERMEDIA.NS,Cyber Media (India) Limited
CYIENT-EQ.NS,CYIENT LIMITED INR5
EKC-EQ.NS,EVEREST KANTO CYLINDER LIMITED
CYBERMEDIA-EQ.NS,CYBER MEDIA (INDIA INR10
CYIENT.NS,Cyient Limited
COFFEEDAY.NS,Coffee Day Enterprises Limited
COFFEEDAY-EQ.NS,COFFEE DAY ENTERPR INR10
HATHWAY.NS,Hathway Cable & Datacom Limited
HATHWAY-IL.NS,HATHWAY CABLE & DA INR2
DATAMATICS-EQ.NS,DATAMATICS GLOBAL INR5
UMANGDAIRY-EQ.NS,UMANG DAIRIES INR5
UMANGDAIRY.NS,UMANG DAIRIES INR5
DAAWAT.NS,LT Foods Limited
PRABHAT-EQ.NS,PRABHAT DAIRY LTD INR10
RDAFTIIPAG-MF.NS,RELIANCE CAPITAL A RELIANCE DA
DATAMATICS.NS,Datamatics Global Services Limited
DBREALTY.NS,DB Realty Ltd
DBCORP-IL.NS,D B CORP LTD INR10
DBCORP.NS,D. B. Corp Limited
DCW.NS,DCW Limited
DCBBANK-EQ.NS,DCB BANK LIMITED INR10
DCM.NS,DCM Limited
DCBBANK.NS,DCB Bank Limited
DCMSHRIRAM.NS,DCM Shriram Limited
DCMSHRIRAM-EQ.NS,DCM SHRIRARM LTD INR2
DHFL.NS,Dewan Housing Finance Corporation Limited
DELTACORP.NS,Delta Corp Limited
DEEPIND.NS,Deep Industries Limited
HIL.NS,HIL Limited
NDL.NS,Nandan Denim Limited
DHUNINV.NS,Dhunseri Investments Limited
DTIL.NS,DHUNSERI TEA & IND INR10
DHARSUGAR.NS,Dharani Sugars and Chemicals Limited
DTIL-EQ.NS,DHUNSERI TEA & IND INR10
DPL-EQ.NS,DHUNSERI PETROCHEM INR10(DEMAT
DTIL-BE.NS,Dhunseri Tea & Ind. Ltd.
DHAMPURSUG.NS,Dhampur Sugar Mills Limited
DPL.NS,Dhunseri Petrochem Limited
DHANBANK.NS,Dhanlaxmi Bank Limited
DISHTV.NS,Dish TV India Limited
DIAPOWER.NS,Diamond Power Infrastructure Limited
GOENKA-BZ.NS,GOENKA DIAMOND&JEWELS LTD
DIGJAM.NS,Digjam Limited
UTRGESSDDP-MF.NS,UTI MUTUAL FUND RGSS DIRECT DIV
GDL.NS,Gateway Distriparks Limited
RKDL-EQ.NS,RAVI KUMAR DISTILLERIES LIMITED
DICIND-EQ.NS,DIC INDIA LIMITED
RKDL.NS,Ravi Kumar Distilleries Limited
PIONDIST-EQ.NS,PIONEER DISTILLERI INR10
DISHMAN.NS,Dishman Pharmaceuticals and Chemicals Limited
FOURTHDIM-SM.NS,FOURTH DIMENSION S INR10
RELDIVOPP.NS,R*Shares Dividend Opportunities ETF
DICIND.NS,DIC India Limited
PIONDIST.NS,Pioneer Distilleries Limited
EDL.NS,Empee Distilleries Limited
DIVISLAB.NS,Divi's Laboratories Limited
DLF.NS,DLF Limited
DLINKINDIA.NS,D-Link (India) Limited
DONEAR.NS,Donear Industries Limited
DOLPHINOFF.NS,Dolphin Offshore Enterprises (India) Limited
HINDDORROL.NS,Hindustan Dorr-Oliver Limited
DOLPHINOFF-EQ.NS,DOLPHIN OFFSHORE ENTERPRISES (I
DONEAR-EQ.NS,DONEAR INDUSTRIES INR2
DPSCLTD-EQ.NS,DPSC LIMITED
DQE.NS,DQ Entertainment (International) Limited
DQE-EQ.NS,DQ ENTERTAINMENT (INTERNATIONAL
DRREDDY-EQ.NS,DR. REDDY'S LABORATORIES LIMITE
PDPL.NS,Parenteral Drugs (India) Limited
DRDATSONS.NS,Dr.Datsons Labs Limited
LALPATHLAB-EQ.NS,DR LAL PATHLABS LT INR10
DRDATSONS-EQ.NS,DR.DATSONS LABS LT INR10
KILITCH.NS,Kilitch Drugs (India) Limited
DREDGECORP-EQ.NS,DREDGING CORPORATION OF INDIA L
PARABDRUGS.NS,Parabolic Drugs Limited
LALPATHLAB.NS,Dr. Lal PathLabs Limited
MANGALAM.NS,Mangalam Drugs & Organics Limited
PARABDRUGS-EQ.NS,PARABOLIC DRUGS INR10(DEMAT)
DREDGECORP.NS,Dredging Corporation of India Limited
KILITCH-EQ.NS,KILITCH DRUGS (INDIA) LIMITED
JINDRILL.NS,Jindal Drilling & Industries Limited
DSKULKARNI-EQ.NS,D.S. KULKARNI DEVE INR10
DSKULKARNI.NS,D.S. Kulkarni Developers Limited
DSSL-EQ.NS,DYNACONS SYS SOLUT INR10
DSSL.NS,Dynacons Systems & Solutions Limited
DUNCANSLTD-BE.NS,DUNCANS INDUSTRIES INR10
RDAFTIIIDG-MF.NS,RELIANCE MUTUAL FD DUAL ADVANTA
DUNCANSLTD.NS,Duncans Industries Limited
DUNCANSLTD-EQ.NS,DUNCANS INDUSTRIES INR10
DWSMIDRD-MF.NS,DEUTSCHE MUTUAL FU MID CAP 1 RE
DWARKESH.NS,Dwarikesh Sugar Industries Limited
DWARKESH-EQ.NS,DWARIKESH SUGAR INDUSTRIES LIMI
DWARKESH-BE.NS,DWARIKESH SUGAR IN INR10
DYNATECH-BE.NS,DYNACONS TECHNOLOG INR1
DYNATECH-EQ.NS,DUCON INFRATECHNOL INR1
DYNAMATECH.NS,Dynamatic Technologies Limited
DYNATECH.NS,Ducon Infratechnolgies Limited
DYNAMATECH-EQ.NS,DYNAMATIC TECHNOLO INR10
GESHIP.NS,The Great Eastern Shipping Company Limited
EASTSILK-EQ.NS,EASTERN SILK IND INR2
EASUNREYRL-EQ.NS,EASUN REYROLLE LTD INR2
EASUNREYRL.NS,Easun Reyrolle Limited
EASTSILK.NS,Eastern Silk Industries Limited
EBANK.NS,Edelweiss ETF - Nifty Bank
ECLERX.NS,eClerx Services Limited
GANECOS-EQ.NS,GANESHA ECOSPHERE INR10
VIKASECO.NS,Vikas EcoTech Limited
VIKASGLOB.NS,Vikas EcoTech Limited
ECEIND-EQ.NS,ECE INDUSTRIES LIMITED
ECLERX-EQ.NS,ECLERX SERVICES LIMITED
ECEIND.NS,ECE Industries Limited
GANECOS.NS,Ganesha Ecosphere Limited
EDUCOMP.NS,Educomp Solutions Limited
EDELWEISS.NS,Edelweiss Financial Services Limited
EDELWEISS-EQ.NS,EDELWEISS FINANCIAL SERVICES LI
UMESLTD-EQ.NS,USHA MARTIN EDU INR1
MTEDUCARE.NS,MT Educare Limited
NAUKRI.NS,Info Edge (India) Limited
NIFTYEES.NS,Edelweiss ETF - Nifty 50
NAVNETEDUL.NS,Navneet Education Limited
NAVNETEDUL-EQ.NS,NAVNEET EDUCATION INR2
EVERONN-EQ.NS,EVERONN EDUCATION LIMITED
COREEDUTEC-BZ.NS,CORE EDUCATION & TECH LTD
NAUKRI-EQ.NS,INFO EDGE INR10
COREEDUTEC.NS,CORE Education and Technologies Limited
COREEDUTEC-EQ.NS,CORE EDUCATION & TECHNOLOGIES L
NIFTYEES-EQ.NS,EDELWEISS MUTUAL F EDELWEISS ET
MTEDUCARE-EQ.NS,MT EDUCARE LIMITED
SKMEGGPROD-EQ.NS,SKM EGG PRODUCTS INR10
SKMEGGPROD.NS,SKM Egg Products Export (India) Limited
EICHERMOT.NS,Eicher Motors Limited
EIHOTEL.NS,EIH Limited
EIMCOELECO.NS,Eimco Elecon (India) Limited
EIMCOELECO-BE.NS,EIMCO ELECON(I)LTD
EIDPARRY.NS,E.I.D.-Parry (India) Limited
EIMCOELECO-EQ.NS,EIMCO ELECON INDIA INR10 (100%
EIDPARRY-EQ.NS,EID PARRY INDIA LIMITED
TECHNO.NS,Techno Electric & Engineering Company Limited
ELGIEQUIP.NS,ELGI Equipments Limited
ELECTHERM-EQ.NS,ELECTROTHERM (INDI INR10
TVSELECT.NS,TVS Electronics Limited
KHAITANELE.NS,Khaitan Electricals Limited
ELITE-IT.NS,Elite Conductors Limited
TVSELECT-EQ.NS,TVS ELECTRONICS LIMITED
KECL-EQ.NS,KIRLOSKAR ELECTRIC COMPANY LIMI
LLOYDELENG.NS,LEEL Electricals Limited
ESL-EQ.NS,ELECTROSTEEL STEELS LIMITED
TECHNO-EQ.NS,TECHNO ELECTRIC & ENGINEERING C
SCHNEIDER-EQ.NS,SCHNEIDER ELECTRIC INFRASTRUCTU
ELGIRUBCO-EQ.NS,ELGI RUBBER COMPANY LIMITED
KHAITANELE-EQ.NS,KHAITAN ELECTRICAL INR10
MIRCELECTR.NS,MIRC Electronics Limited
EON.NS,Eon Electric Limited
ELDERPHARM.NS,Elder Pharmaceuticals Limited
MIC.NS,MIC Electronics Limited
BAJAJELEC.NS,Bajaj Electricals Limited
JCTEL.NS,JCT Electronics Limited
INDNIPPON.NS,India Nippon Electricals Limited
ELECON-EQ.NS,ELECON ENGINEERING INR2 (POST S
EON-EQ.NS,EON ELECTRIC LTD INR5
ELFORGE-BE.NS,ELFORGE-BE.NS
ELECTHERM.NS,Electrotherm (India) Limited
ELDERPHARM-BZ.NS,ELDER PHARM INR10(DEMAT)
SALZERELEC-EQ.NS,SALZER ELECTRONICS INR10
ELGIRUBCO.NS,Elgi Rubber Company Limited
PGEL-EQ.NS,PG ELECTROPLAST LIMITED
ELDERPHARM-EQ.NS,ELDER PHARMA LTD.
KECL.NS,Kirloskar Electric Company Limited
PGEL.NS,PG Electroplast Limited
MIRCELECTR-EQ.NS,MIRC ELECTRONICS INR1
ELECON.NS,Elecon Engineering Company Limited
ELDERPHARM-BE.NS,ELDER PHARM INR10(DEMAT)
ESL.NS,Electrosteel Steels Limited
SALZERELEC.NS,SALZER ELECTRONICS INR10
EMCO.NS,EMCO Limited
EMCO-EQ.NS,EMCO LIMITED
PIONEEREMB.NS,Pioneer Embroideries Limited
EMAMILTD.NS,Emami Limited
EMMBI.NS,Emmbi Industries Limited
EMAMIINFRA.NS,Emami Infrastructure Limited
EMKAY.NS,Emkay Global Financial Services Limited
EMAMIINFRA-EQ.NS,EMAMI INFRASTRUCTU INR2
PIONEEREMB-EQ.NS,PIONEER EMBROID LT INR10
EMKAY-EQ.NS,EMKAY GLOBAL FIN INR10
SHEMAROO.NS,Shemaroo Entertainment Limited
SADBHAV.NS,Sadbhav Engineering Limited
RELIGARE.NS,Religare Enterprises Limited
PATELENG.NS,Patel Engineering Limited
ERAINFRA.NS,Era Infra Engineering Limited
ENIL.NS,Entertainment Network (India) Limited
FCEL.NS,Future Consumer Limited
PENPEBS-IL.NS,PENNAR ENGINEERED INR10
KARMAENG.NS,Karma Energy Limited
PENPEBS-BT.NS,PENNAR ENGINEERED INR10
A2ZINFRA.NS,A2Z Infra Engineering Limited
SHRIRAMEPC.NS,Shriram EPC Limited
SHRIRAMEPC-EQ.NS,SHRIRAM EPC LIMITED
REVATHI.NS,Revathi Equipment Limited
REVATHI-EQ.NS,REVATHI EQUIPMENT INR10
IPRU2262-MF.NS,ICICI PRUDENTIAL A EQUITY SAVIN
ERAINFRA-BE.NS,ERAINFRA-BE.NS
ERAINFRA-BZ.NS,ERA INFRA ENGINEER INR2(DEMAT)
EROSMEDIA.NS,Eros International Media Limited
ESSARSHPNG.NS,Essar Shipping Limited
ESCORTS.NS,Escorts Limited
ESABINDIA.NS,ESAB India Limited
UNITEDTEA-EQ.NS,UNITED NILGIRI TEA INR10
NITESHEST-EQ.NS,NITESH ESTATES LIMITED
ESTER.NS,Ester Industries Limited
IBREALEST.NS,Indiabulls Real Estate Limited
ESSAROIL.NS,Essar Oil Ltd.
NITESHEST.NS,Nitesh Estates Limited
ESSARSHPNG-EQ.NS,ESSAR SHIPPING POR INR10
PRESTIGE.NS,Prestige Estates Projects Limited
ESTER-EQ.NS,ESTER INDUSTRIES LIMITED
PRESTIGE-IL.NS,PRESTIGE ESTATES PROJECTS LIMIT
ESSARPORT.NS,ESSAR PORTS LIMITED
RELGOLD.NS,R* Shares Gold ETF
INIFTY.NS,ICICI Prudential Nifty ETF
RELGRNIFTY.NS,Invesco India Nifty ETF
M50.NS,Motilal Oswal MOSt Shares M50 ETF
KOTAKNIFTY.NS,Kotak Nifty ETF
KOTAKGOLD.NS,Kotak Gold ETF
UTISENSETF.NS,UTI Sensex ETF
RELNV20.NS,R*Shares NV20 ETF
N100.NS,Motilal Oswal MOSt Shares NASDAQ 100 ETF
GOLDSHARE.NS,UTI Gold ETF
LICNFENGP.NS,LIC MF ETF Nifty 50
KOTAKBKETF.NS,Kotak Banking ETF
IDBIGOLD.NS,IDBI Gold ETF
RELIGAREGO.NS,Invesco India Gold ETF
IDBIGOLD-EQ.NS,IDBI MUTUAL FUND IDBI GOLD ETF
HDFCMFGETF.NS,HDFC Gold ETF
RELCNX100.NS,R* Shares CNX 100 ETF
IGOLD.NS,ICICI Prudential GOLD ETF
RELCONS.NS,R*Shares Consumption ETF
HDFCNIFETF.NS,HDFC Nifty ETF
HDFCSENETF.NS,HDFC Sensex ETF
ICNX100.NS,ICICI Prudential Nifty100 ETF
IPGETF.NS,ICICI Prudential GOLD ETF
RELBANK.NS,R* Shares Banking ETF
M100-EQ.NS,MOST SHARES M100 ETF
UTINIFTETF.NS,UTI Nifty ETF
RELNIFTY.NS,R* Shares Nifty ETF
KOTAKPSUBK.NS,Kotak PSU Bank ETF
KOTAKNV20.NS,Kotak NV 20 ETF
RELGRNIFTY-EQ.NS,RELIGARE MUTUAL FD NIFFTY ETF
EUROMULTI.NS,Euro Multivision Limited
EUROMULTI-BE.NS,EURO MULTIVISION L INR10
EUROMULTI-EQ.NS,EURO MULTIVISION L INR10
EVEREADY.NS,Eveready Industries India Limited
EVERESTIND.NS,Everest Industries Limited
TULSI.NS,Tulsi Extrusions Limited
EXIDEIND.NS,Exide Industries Limited
GOLDBEES-EQ.NS,GOLDMAN SACHS GOLD GOLD EXCH TR
EXCELINFO.NS,Excel Realty N Infra Limited
HINDOILEXP.NS,Hindustan Oil Exploration Company Limited
RAJESHEXPO-EQ.NS,RAJESH EXPORTS INR1
EXCELINDUS.NS,Excel Industries Limited
NORBTEAEXP.NS,Norben Tea & Exports Ltd
NAGREEKEXP.NS,Nagreeka Exports Limited
EXCEL-EQ.NS,EXCEL REALTY N INF INR10
NAGREEKEXP-EQ.NS,NAGREEKA EXPORTS INR5
MCX-IL.NS,MULTI COMMODITY EX INR10
NUCLEUS.NS,Nucleus Software Exports Limited
ORBTEXP.NS,Orbit Exports Limited
SELAN.NS,Selan Exploration Technology Limited
KABRAEXTRU-EQ.NS,KABRA EXTRUSIONTEC INR5.00
IGOLD-EQ.NS,ICICI PRUDENTIAL A GOLD EXCHANG
KEMROCK.NS,Kemrock Industries and Exports Limited
RAJESHEXPO.NS,Rajesh Exports Limited
EXIDEIND-EQ.NS,EXIDE INDUSTRIES LIMITED
EXCEL.NS,Excel Realty N Infra Limited
KABRAEXTRU.NS,Kabra Extrusiontechnik Limited
SAKUMA.NS,Sakuma Exports Limited
GOKEX.NS,Gokaldas Exports Limited
LOTUSEYE-EQ.NS,LOTUS EYE CARE HOSPITAL LIMITED
PDSMFL.NS,PDS Multinational Fashions Limited
FARMAXIND.NS,Farmax India Limited
INDTERRAIN-EQ.NS,INDIAN TERRAIN FAS INR2
MONTECARLO.NS,Monte Carlo Fashions Limited
PFRL-EQ.NS,ADITYA BIRLA FASH INR10
FARMAXIND-BE.NS,FARMAX INDIA LTD INR1
PDSMFL-EQ.NS,PDS MULTINATIONAL INR10
SUNDRMFAST.NS,Sundram Fasteners Limited
INDTERRAIN.NS,Indian Terrain Fashions Limited
MONTECARLO-EQ.NS,MONTE CARLO FASHIO INR10
FLFL.NS,Future Lifestyle Fashions Limited
FLFL-EQ.NS,FUTURE LIFESTYLE F INR2
FCSSOFT-EQ.NS,FCS SOFTWARE SOLUT INR1
FCSSOFT.NS,FCS Software Solutions Limited
FCEL-EQ.NS,FUTURE CONSUMER EN INR6
FCL.NS,Fineotex Chemical Limited
FDC.NS,FDC Limited
RELCNX100-EQ.NS,RELIANCE MUTUAL FD RELIANCE ETF
FDC-EQ.NS,FDC LIMITED
FMGOETZE.NS,Federal-Mogul Goetze (India) Limited
UTIFEFRGR1-MF.NS,UTI MUTUAL FUND FEF-S-I-1100D R
FEDERALBNK.NS,The Federal Bank Limited
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited
SHREEPUSHK.NS,Shree Pushkar Chemicals & Fertilisers Limited
FEDERALBNK-EQ.NS,THE FEDERAL BANK LIMITED
ROHITFERRO.NS,Rohit Ferro-Tech Limited
MADRASFERT-EQ.NS,MADRAS FERTILIZERS INR10(DEMAT)
FEDDERLOYD.NS,Fedders Electric and Engineering Limited
IMPEXFERRO.NS,Impex Ferro Tech Limited
SHREEPUSHK-BE.NS,Shre Push Chem & Fert Ltd
SHREEPUSHK-EQ.NS,SHREE PUSHKAR CHEM INR10
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited
NFL.NS,National Fertilizers Limited
ROHITFERRO-EQ.NS,ROHIT FERRO-TECH INR10
MADRASFERT.NS,Madras Fertilizers Limited
SRTRANSFI.NS,Shriram Transport Finance Co. Ltd.
SRTRANSFIN.NS,Shriram Transport Finance Company Limited
SARLAPOLY.NS,Sarla Performance Fibers Limited
NAHARPOLY-EQ.NS,NAHAR POLY FILMS LIMITED
INDUSFILA.NS,Indus Fila Limited
IBULHSGFIN.NS,Indiabulls Housing Finance Limited
FSL.NS,Firstsource Solutions Limited
FINANTECH.NS,63 Moons Technologies Limited
INDUSFILA-BE.NS,INDUS FILA LIMITED
FINCABLES-EQ.NS,FINOLEX CABLES LIMITED
LFIC-BE.NS,Lakshmi Fin Ind Corp Ltd
CONSOFINVT-EQ.NS,CONSOLIDATED FINVE INR10
GICHSGFIN.NS,GIC Housing Finance Limited
CAMLINFINE.NS,CAMLIN FINE SCIENC INR1
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited
JMFINANCIL.NS,JM Financial Limited
SUNDARMFIN.NS,Sundaram Finance Limited
LAKSHMIFIN-BE.NS,LAKSHMIFIN-BE.NS
NAHARCAP.NS,Nahar Capital and Financial Services Limited
OFSS-EQ.NS,ORACLE FINANCIAL SERVICES SOFTW
FIEMIND-EQ.NS,FIEM INDUSTRIES LIMITED
L&TFH-EQ.NS,L&T FINANCE HOLDINGS LIMITED
GLFL.NS,Gujarat Lease Financing Limited
GINNIFILA-EQ.NS,GINNI FILAMENTS LIMITED
GUJSTATFIN-BT.NS,GUJARAT STATE FINANCIAL CORPORA
FILATEX.NS,Filatex India Limited
TCIFINANCE.NS,TCI Finance Limited
NAHARPOLY.NS,Nahar Poly Films Limited
FINANTECH-EQ.NS,FINANCIAL TECHNOLOGIES (INDIA)
NITINFIRE.NS,Nitin Fire Protection Industries Limited
PFC-EQ.NS,POWER FINANCE CORPORATION LIMIT
GICHSGFIN-EQ.NS,GIC HOUSING FINANCE LIMITED
MOTILALOFS.NS,Motilal Oswal Financial Services Limited
NAVINFLUOR-EQ.NS,NAVIN FLUORINE INT INR2
GUJFLUORO.NS,Gujarat Fluorochemicals Limited
NAVINFLUOR.NS,Navin Fluorine International Limited
FLEXITUFF.NS,Flexituff International Limited
LTMFXTG-MF.NS,L&T MUTUAL FUND FMP GRWT OPT 03
FMNL.NS,Future Market Networks Limited
FMNL-EQ.NS,FUTURE MKT NETWORK INR10
SGFL.NS,Shree Ganesh Forgings Limited
MMFL.NS,MM Forgings Limited
FOSECOIND.NS,Foseco India Limited
FORTIS.NS,Fortis Healthcare Limited
FORTIS-EQ.NS,FORTIS HEALTHCARE LIMITED
HINDUJAFO.NS,Hinduja Foundries Limited
ADFFOODS.NS,ADF Foods Limited
RKFORGE.NS,Ramkrishna Forgings Limited
METALFORGE-EQ.NS,METALYST FORGINGS INR10
LGBFORGE-EQ.NS,LGB FORGE LIMITED
HERITGFOOD.NS,Heritage Foods Limited
KALYANIFRG-BE.NS,KALYANI FORGE INR10
METALFORGE.NS,Metalyst Forgings Limited
KALYANIFRG-EQ.NS,KALYANI FORGE INR10
PFOCUS-EQ.NS,PRIME FOCUS LIMITED
PFOCUS.NS,Prime Focus Limited
RELAXO-EQ.NS,RELAXO FOOTWEARS LIMITED
RELAXO.NS,Relaxo Footwears Limited
SITASHREE-EQ.NS,SITA SHREE FOOD PRODUCTS LIMITE
KOHINOOR-EQ.NS,KOHINOOR FOODS LIMITED
HERITGFOOD-EQ.NS,HERITAGE FOODS LTD INR10
HILTON.NS,Hilton Metal Forging Limited
KOHINOOR.NS,Kohinoor Foods Limited
VIMALOIL-EQ.NS,VIMAL OIL & FOOD INR10
MMFL-EQ.NS,MM FORGINGS LIMITED
LGBFORGE.NS,LGB Forge Limited
SITASHREE-BE.NS,SITA SHREE FOOD PR INR10
VIMALOIL.NS,Vimal Oil & Foods Limited
SGFL-EQ.NS,SHREE GANESH FORG INR10
SGFL-BE.NS,SHREE GANESH FORG INR10
KALYANIFRG.NS,Kalyani Forge Limited
FRL.NS,Future Enterprises Limited
FRL-EQ.NS,FUTURE ENTERPRISES INR2
HFCL.NS,Himachal Futuristic Communications Limited
SC2RD-MF.NS,SUNDARAM MUTUAL FU SEL SMALL CA
UCALFUEL.NS,Ucal Fuel Systems Limited
UTRGESSRGR-MF.NS,UTI MUTUAL FUND RGSS RET GROWTH
FRLDVR-EQ.NS,FUTURE ENTERPRISES INR2 'B' (BO
HRGESSRG2-MF.NS,HDFC MUTUAL FUND HDFC-RAJ GANDH
RELNIFTY-EQ.NS,RELIANCE MUTUAL FD R NIFTY DIVI
UTCPOSRGR1-MF.NS,UTI MUTUAL FUND CAP PRO OR IV-I
RD366D38RG-MF.NS,SBI MUTUAL FUND DEBT 366D 38 RE
HCPO36MSRG-MF.NS,HDFC MUTUAL FUND CAP PRO 36M RE
SMCSRIIIRD-MF.NS,SUNDARAM MUTUAL FU MICROCAP III
HCPO36MORG-MF.NS,HDFC MUTUAL FUND SR I-36M OCT 2
FRLDVR.NS,FUTURE ENTERPRISES INR2 'B' (BO
ISENSEX-EQ.NS,ICICI PRUDENTIAL A ICICI PRUDEN
IGL.NS,Indraprastha Gas Limited
GABRIEL.NS,Gabriel India Limited
GALLISPAT.NS,Gallantt Ispat Limited
GATI.NS,Gati Limited
GUJGASLTD-EQ.NS,GUJARAT GAS LIMITE INR10 NEW
GUJGASLTD.NS,GUJARAT GAS LIMITE INR10 NEW
GARDENSIL.NS,Garden Silks Mills Ltd.
GAIL-EQ.NS,GAIL (INDIA) LIMITED
GAMMNINFRA-EQ.NS,GAMMON INFRASTRUCT INR2
GUJGASLTD-BE.NS,Gujarat Gas Limited
KITEX-EQ.NS,KITEX GARMENTS LIMITED
GAMMNINFRA.NS,Gammon Infrastructure Projects Limited
GANDHITUBE.NS,Gandhi Special Tubes Limited
SVOGL-EQ.NS,SVOGL OIL GAS AND INR10
GALLANTT-EQ.NS,GALLANTT METAL LIMITED
ONGC-EQ.NS,OIL & NATURAL GAS CORPORATION L
GAMMONIND.NS,Gammon India Limited
ONGC.NS,Oil and Natural Gas Corporation Limited
GARDENSILK.NS,Garden Silk Mills Limited
SGJHL.NS,Shree Ganesh Jewellery House (I) Limited
GANGOTRI-EQ.NS,GANGOTRI TEXTILE INR5(POST SUBD
INTEGRA.NS,Integra Garments and Textiles Limited
GANESHHOUC-EQ.NS,GANESH HOUSING CP INR10(DEMAT)
SHIV-VANI.NS,SVOGL Oil Gas and Energy Limited
INTEGRA-EQ.NS,INTEGRA GARMENTS A INR3
GANGOTRI.NS,Gangotri Textiles Limited
GAYAPROJ.NS,Gayatri Projects Limited
GARWALLROP-EQ.NS,GARWARE WALL ROPES INR10
GARWALLROP.NS,Garware-Wall Ropes Limited
UPERGANGES.NS,Upper Ganges Sugar & Industries Limited
GALLISPAT-EQ.NS,GALLANTT ISPAT LIMITED
INTEGRA-BE.NS,INTEGRA GARMENTS A INR3
GALLANTT.NS,Gallantt Metal Limited
GANGOTRI-BE.NS,GANGOTRI TEXTILE INR5(POST SUBD
GENUSPOWER.NS,Genus Power Infrastructures Limited
GEMINI.NS,Gemini Communication Limited
LYPSAGEMS.NS,Lypsa Gems & Jewellery Limited
GEINDSYS.NS,GEI Industrial Systems Limited
GENUSPOWER-EQ.NS,GENUS POWER INFRA INR1
GENESYS.NS,Genesys International Corporation Limited
GEOMETRIC.NS,Geometric Limited
GENUSPAPER-BE.NS,Genus P&B Limited
SHANTIGEAR.NS,Shanthi Gears Limited
MOTOGENFIN.NS,The Motor & General Finance Limited
MOTOGENFIN-BE.NS,MOTOR & GENERAL FINANCE L
MOTOGENFIN-EQ.NS,MOTOR & GEN FINANC INR10
LYPSAGEMS-EQ.NS,LYPSA GEMS & JEWEL INR10
HITECHGEAR.NS,The Hi-Tech Gears Limited
GEMINI-EQ.NS,GEMINI COMM LTD INR1
GEOMETRIC-EQ.NS,GEOMETRIC LIMITED
SHANTIGEAR-EQ.NS,SHANTHI GEARS INR1
GITANJALI.NS,Gitanjali Gems Limited
GITANJALI-EQ.NS,GITANJALI GEMS LIMITED
GHCL.NS,GHCL Limited
GHCL-EQ.NS,GHCL LIMITED
PNBGILTS.NS,PNB Gilts Ltd.
GIPCL.NS,Gujarat Industries Power Company Limited
GIRRESORTS-IT.NS,GIR Natureview Resort Ltd
GISOLUTION-EQ.NS,GI ENGINEERING SOL INR10
GISOLUTION-BE.NS,GI ENGINEERING SOLUTIONS LTD IN
GIRRESORTS-EQ.NS,GIR NATUREVIEW RES INR10
GILLETTE-EQ.NS,GILLETTE INDIA LIMITED
GIRRESORTS.NS,GIR Natureview Resorts Limited
GINNIFILA.NS,Ginni Filaments Limited
GISOLUTION.NS,GI Engineering Solutions Limited
GILLETTE.NS,Gillette India Limited
GKWLIMITED-EQ.NS,GKW LIMITED INR10
GKWLIMITED.NS,GKW Limited
GLOBUSSPR.NS,Globus Spirits Limited
GLENMARK.NS,Glenmark Pharmaceuticals Limited
GLAXO.NS,GlaxoSmithkline Pharmaceuticals Limited
SGL-EQ.NS,STL GLOBAL LTD INR10
INDIAGLYCO.NS,India Glycols Limited
GLENMARK-EQ.NS,GLENMARK PHARMACEUTICALS LIMITE
SEZAL-EQ.NS,SEZAL GLASS INR10
VAIBHAVGBL-EQ.NS,VAIBHAV GLOBAL LTD INR10
SEZAL.NS,Sejal Glass Limited
ONMOBILE-EQ.NS,ONMOBILE GLOBAL LIMITED
SPHEREGSL.NS,Sphere Global Services Limited
GLOBOFFS.NS,Global Offshore Services Limited
SGL.NS,STL Global Limited
ONMOBILE.NS,OnMobile Global Limited
GLOBALVECT-EQ.NS,GLOBAL VECTRA HELI INR10
SGL-BE.NS,STL GLOBAL LTD INR10
HINDNATGLS.NS,Hindusthan National Glass & Industries Limited
GLODYNE-BE.NS,GLODYNE-BE.NS
GLOBALVECT.NS,Global Vectra Helicorp Limited
GLFL-EQ.NS,GUJARAT LEASE INR10
GLODYNE-BZ.NS,GLODYNE TECHNOSERVE LTD.
GSKCONS.NS,GlaxoSmithKline Consumer Healthcare Limited
SPHEREGSL-EQ.NS,SPHERE GLOBAL SERV INR10
HGS.NS,Hinduja Global Solutions Limited
SEZAL-BE.NS,SEZAL GLASS INR10
GLODYNE.NS,Glodyne Technoserve Limited
PGIL.NS,Pearl Global Industries Limited
HGS-EQ.NS,HINDUJA GLOBAL SOLUTIONS LIMITE
GMBREW.NS,G.M.Breweries Limited
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited
GMRINFRA-EQ.NS,GMR INFRASTRUCTURE LIMITED
GMRINFRA.NS,GMR Infrastructure Limited
GODREJIND.NS,Godrej Industries Limited
